"","Survived","Pclass","Sex","Age","SibSp","Parch"
"1","Dead","3ª class","male",22,1,0
"2","Survived","1ª class","female",38,1,0
"3","Survived","3ª class","female",26,0,0
"4","Survived","1ª class","female",35,1,0
"5","Dead","3ª class","male",35,0,0
"6","Dead","3ª class","male",35,0,0
"7","Dead","1ª class","male",54,0,0
"8","Dead","3ª class","male",2,3,1
"9","Survived","3ª class","female",27,0,2
"10","Survived","2ª class","female",14,1,0
"11","Survived","3ª class","female",4,1,1
"12","Survived","1ª class","female",58,0,0
"13","Dead","3ª class","male",20,0,0
"14","Dead","3ª class","male",39,1,5
"15","Dead","3ª class","female",14,0,0
"16","Survived","2ª class","female",55,0,0
"17","Dead","3ª class","male",2,4,1
"18","Survived","2ª class","male",55,0,0
"19","Dead","3ª class","female",31,1,0
"20","Survived","3ª class","female",55,0,0
"21","Dead","2ª class","male",35,0,0
"22","Survived","2ª class","male",34,0,0
"23","Survived","3ª class","female",15,0,0
"24","Survived","1ª class","male",28,0,0
"25","Dead","3ª class","female",8,3,1
"26","Survived","3ª class","female",38,1,5
"27","Dead","3ª class","male",35,0,0
"28","Dead","1ª class","male",19,3,2
"29","Survived","3ª class","female",55,0,0
"30","Dead","3ª class","male",35,0,0
"31","Dead","1ª class","male",40,0,0
"32","Survived","1ª class","female",35,1,0
"33","Survived","3ª class","female",55,0,0
"34","Dead","2ª class","male",66,0,0
"35","Dead","1ª class","male",28,1,0
"36","Dead","1ª class","male",42,1,0
"37","Survived","3ª class","male",55,0,0
"38","Dead","3ª class","male",21,0,0
"39","Dead","3ª class","female",18,2,0
"40","Survived","3ª class","female",14,1,0
"41","Dead","3ª class","female",40,1,0
"42","Dead","2ª class","female",27,1,0
"43","Dead","3ª class","male",35,0,0
"44","Survived","2ª class","female",3,1,2
"45","Survived","3ª class","female",19,0,0
"46","Dead","3ª class","male",35,0,0
"47","Dead","3ª class","male",28,1,0
"48","Survived","3ª class","female",55,0,0
"49","Dead","3ª class","male",26,2,0
"50","Dead","3ª class","female",18,1,0
"51","Dead","3ª class","male",7,4,1
"52","Dead","3ª class","male",21,0,0
"53","Survived","1ª class","female",49,1,0
"54","Survived","2ª class","female",29,1,0
"55","Dead","1ª class","male",65,0,1
"56","Survived","1ª class","male",55,0,0
"57","Survived","2ª class","female",21,0,0
"58","Dead","3ª class","male",28.5,0,0
"59","Survived","2ª class","female",5,1,2
"60","Dead","3ª class","male",11,5,2
"61","Dead","3ª class","male",22,0,0
"62","Survived","1ª class","female",38,0,0
"63","Dead","1ª class","male",45,1,0
"64","Dead","3ª class","male",4,3,2
"65","Dead","1ª class","male",35,0,0
"66","Survived","3ª class","male",3,1,1
"67","Survived","2ª class","female",29,0,0
"68","Dead","3ª class","male",19,0,0
"69","Survived","3ª class","female",17,4,2
"70","Dead","3ª class","male",26,2,0
"71","Dead","2ª class","male",32,0,0
"72","Dead","3ª class","female",16,5,2
"73","Dead","2ª class","male",21,0,0
"74","Dead","3ª class","male",26,1,0
"75","Survived","3ª class","male",32,0,0
"76","Dead","3ª class","male",25,0,0
"77","Dead","3ª class","male",35,0,0
"78","Dead","3ª class","male",35,0,0
"79","Survived","2ª class","male",0.83,0,2
"80","Survived","3ª class","female",30,0,0
"81","Dead","3ª class","male",22,0,0
"82","Survived","3ª class","male",29,0,0
"83","Survived","3ª class","female",55,0,0
"84","Dead","1ª class","male",28,0,0
"85","Survived","2ª class","female",17,0,0
"86","Survived","3ª class","female",33,3,0
"87","Dead","3ª class","male",16,1,3
"88","Dead","3ª class","male",35,0,0
"89","Survived","1ª class","female",23,3,2
"90","Dead","3ª class","male",24,0,0
"91","Dead","3ª class","male",29,0,0
"92","Dead","3ª class","male",20,0,0
"93","Dead","1ª class","male",46,1,0
"94","Dead","3ª class","male",26,1,2
"95","Dead","3ª class","male",59,0,0
"96","Dead","3ª class","male",35,0,0
"97","Dead","1ª class","male",71,0,0
"98","Survived","1ª class","male",23,0,1
"99","Survived","2ª class","female",34,0,1
"100","Dead","2ª class","male",34,1,0
"101","Dead","3ª class","female",28,0,0
"102","Dead","3ª class","male",35,0,0
"103","Dead","1ª class","male",21,0,1
"104","Dead","3ª class","male",33,0,0
"105","Dead","3ª class","male",37,2,0
"106","Dead","3ª class","male",28,0,0
"107","Survived","3ª class","female",21,0,0
"108","Survived","3ª class","male",55,0,0
"109","Dead","3ª class","male",38,0,0
"110","Survived","3ª class","female",35,1,0
"111","Dead","1ª class","male",47,0,0
"112","Dead","3ª class","female",14.5,1,0
"113","Dead","3ª class","male",22,0,0
"114","Dead","3ª class","female",20,1,0
"115","Dead","3ª class","female",17,0,0
"116","Dead","3ª class","male",21,0,0
"117","Dead","3ª class","male",70.5,0,0
"118","Dead","2ª class","male",29,1,0
"119","Dead","1ª class","male",24,0,1
"120","Dead","3ª class","female",2,4,2
"121","Dead","2ª class","male",21,2,0
"122","Dead","3ª class","male",35,0,0
"123","Dead","2ª class","male",32.5,1,0
"124","Survived","2ª class","female",32.5,0,0
"125","Dead","1ª class","male",54,0,1
"126","Survived","3ª class","male",12,1,0
"127","Dead","3ª class","male",35,0,0
"128","Survived","3ª class","male",24,0,0
"129","Survived","3ª class","female",3,1,1
"130","Dead","3ª class","male",45,0,0
"131","Dead","3ª class","male",33,0,0
"132","Dead","3ª class","male",20,0,0
"133","Dead","3ª class","female",47,1,0
"134","Survived","2ª class","female",29,1,0
"135","Dead","2ª class","male",25,0,0
"136","Dead","2ª class","male",23,0,0
"137","Survived","1ª class","female",19,0,2
"138","Dead","1ª class","male",37,1,0
"139","Dead","3ª class","male",16,0,0
"140","Dead","1ª class","male",24,0,0
"141","Dead","3ª class","female",40.5,0,2
"142","Survived","3ª class","female",22,0,0
"143","Survived","3ª class","female",24,1,0
"144","Dead","3ª class","male",19,0,0
"145","Dead","2ª class","male",18,0,0
"146","Dead","2ª class","male",19,1,1
"147","Survived","3ª class","male",27,0,0
"148","Dead","3ª class","female",9,2,2
"149","Dead","2ª class","male",36.5,0,2
"150","Dead","2ª class","male",42,0,0
"151","Dead","2ª class","male",51,0,0
"152","Survived","1ª class","female",22,1,0
"153","Dead","3ª class","male",55.5,0,0
"154","Dead","3ª class","male",40.5,0,2
"155","Dead","3ª class","male",35,0,0
"156","Dead","1ª class","male",51,0,1
"157","Survived","3ª class","female",16,0,0
"158","Dead","3ª class","male",30,0,0
"159","Dead","3ª class","male",35,0,0
"160","Dead","3ª class","male",11,8,2
"161","Dead","3ª class","male",44,0,1
"162","Survived","2ª class","female",40,0,0
"163","Dead","3ª class","male",26,0,0
"164","Dead","3ª class","male",17,0,0
"165","Dead","3ª class","male",1,4,1
"166","Survived","3ª class","male",9,0,2
"167","Survived","1ª class","female",34,0,1
"168","Dead","3ª class","female",45,1,4
"169","Dead","1ª class","male",35,0,0
"170","Dead","3ª class","male",28,0,0
"171","Dead","1ª class","male",61,0,0
"172","Dead","3ª class","male",4,4,1
"173","Survived","3ª class","female",1,1,1
"174","Dead","3ª class","male",21,0,0
"175","Dead","1ª class","male",56,0,0
"176","Dead","3ª class","male",18,1,1
"177","Dead","3ª class","male",3,3,1
"178","Dead","1ª class","female",50,0,0
"179","Dead","2ª class","male",30,0,0
"180","Dead","3ª class","male",36,0,0
"181","Dead","3ª class","female",11,8,2
"182","Dead","2ª class","male",35,0,0
"183","Dead","3ª class","male",9,4,2
"184","Survived","2ª class","male",1,2,1
"185","Survived","3ª class","female",4,0,2
"186","Dead","1ª class","male",35,0,0
"187","Survived","3ª class","female",35,1,0
"188","Survived","1ª class","male",45,0,0
"189","Dead","3ª class","male",40,1,1
"190","Dead","3ª class","male",36,0,0
"191","Survived","2ª class","female",32,0,0
"192","Dead","2ª class","male",19,0,0
"193","Survived","3ª class","female",19,1,0
"194","Survived","2ª class","male",3,1,1
"195","Survived","1ª class","female",44,0,0
"196","Survived","1ª class","female",58,0,0
"197","Dead","3ª class","male",35,0,0
"198","Dead","3ª class","male",42,0,1
"199","Survived","3ª class","female",55,0,0
"200","Dead","2ª class","female",24,0,0
"201","Dead","3ª class","male",28,0,0
"202","Dead","3ª class","male",11,8,2
"203","Dead","3ª class","male",34,0,0
"204","Dead","3ª class","male",45.5,0,0
"205","Survived","3ª class","male",18,0,0
"206","Dead","3ª class","female",2,0,1
"207","Dead","3ª class","male",32,1,0
"208","Survived","3ª class","male",26,0,0
"209","Survived","3ª class","female",16,0,0
"210","Survived","1ª class","male",40,0,0
"211","Dead","3ª class","male",24,0,0
"212","Survived","2ª class","female",35,0,0
"213","Dead","3ª class","male",22,0,0
"214","Dead","2ª class","male",30,0,0
"215","Dead","3ª class","male",28,1,0
"216","Survived","1ª class","female",31,1,0
"217","Survived","3ª class","female",27,0,0
"218","Dead","2ª class","male",42,1,0
"219","Survived","1ª class","female",32,0,0
"220","Dead","2ª class","male",30,0,0
"221","Survived","3ª class","male",16,0,0
"222","Dead","2ª class","male",27,0,0
"223","Dead","3ª class","male",51,0,0
"224","Dead","3ª class","male",35,0,0
"225","Survived","1ª class","male",38,1,0
"226","Dead","3ª class","male",22,0,0
"227","Survived","2ª class","male",19,0,0
"228","Dead","3ª class","male",20.5,0,0
"229","Dead","2ª class","male",18,0,0
"230","Dead","3ª class","female",3,3,1
"231","Survived","1ª class","female",35,1,0
"232","Dead","3ª class","male",29,0,0
"233","Dead","2ª class","male",59,0,0
"234","Survived","3ª class","female",5,4,2
"235","Dead","2ª class","male",24,0,0
"236","Dead","3ª class","female",35,0,0
"237","Dead","2ª class","male",44,1,0
"238","Survived","2ª class","female",8,0,2
"239","Dead","2ª class","male",19,0,0
"240","Dead","2ª class","male",33,0,0
"241","Dead","3ª class","female",28,1,0
"242","Survived","3ª class","female",35,1,0
"243","Dead","2ª class","male",29,0,0
"244","Dead","3ª class","male",22,0,0
